Rank,State,Population,National Share,Growth Rate,Rural Population,%Rural,Urban Population,%Urban,Area (km2),Density,Sex Ratio
UT6,Andaman and Nicobar Islands,380581,0.0003,0.069,237093,0.623,143488,0.377,"8,249 ",46,876
10,Andhra Pradesh,49577103,0.041,0.11,34966693,0.7053,14610410,0.2947,"1,62,968",303,993
26,Arunachal Pradesh,1383727,0.0011,0.26,1066358,0.7706,317369,0.2294,"83,743 ",17,938
15,Assam,31205576,0.0258,0.177,26807034,0.859,4398542,0.141,"78,438 ",398,958
3,Bihar,104099452,0.086,0.254,92341436,0.8871,11758016,0.1129,"94,163 ",1102,918
UT4,Chandigarh,1055450,0.0009,0.172,28991,0.0275,1026459,0.9725,114 ,9252,818
17,Chhattisgarh,25545198,0.0211,0.226,19607961,0.7676,5937237,0.2324,"135,191 ",189,991
UT5,Dadra and Nagar Haveli and Daman and Diu,585764,0.0005,0.551,243510,0.4157,342254,0.5843,603 ,970,711
UT1,Delhi,16787941,0.0139,0.212,419042,0.025,16368899,0.975,"1,484 ",11297,868
25,Goa,1458545,0.0012,0.082,551731,0.3783,906814,0.6217,"3,702 ",394,973
9,Gujarat,60439692,0.0499,0.193,34694609,0.574,25745083,0.426,"196,024 ",308,919
18,Haryana,25351462,0.0209,0.199,16509359,0.6512,8842103,0.3488,"44,212",573,879
20,Himachal Pradesh,6864602,0.0057,0.129,6176050,0.8997,688552,0.1003,"55,673 ",123,972
UT2,Jammu and Kashmir,12267032,0.0101,0.236,9064220,0.7389,3202812,0.2611,"42,241 ",297,890
14,Jharkhand,32988134,0.0273,0.224,25055073,0.7595,7933061,0.2405,"79,714 ",414,948
8,Karnataka,61095297,0.0505,0.156,37469335,0.6133,23625962,0.3867,"191,791 ",319,973
13,Kerala,33406061,0.0276,0.049,17471135,0.523,15934926,0.477,"38,863 ",859,1084
UT7,Ladakh,274000,0.0002,0.178,43840,0.16,230160,0.84,"96,701",2.8,853
UT8,Lakshadweep,64473,0.0001,0.063,14141,0.2193,50332,0.7807,32 ,2013,946
5,Madhya Pradesh,72626809,0.06,0.163,52557404,0.7237,20069405,0.2763,"3,08,245",236,931
2,Maharashtra,112374333,0.0928,0.2,61556074,0.5478,50818259,0.4522,"3,07,713",365,929
23,Manipur,2570390,0.0021,0.186,1793875,0.6979,776515,0.3021,"22,327 ",122,992
22,Meghalaya,2966889,0.0025,0.279,2371439,0.7993,595450,0.2007,"22,429 ",132,989
27,Mizoram,1097206,0.0009,0.235,525435,0.4789,571771,0.5211,"21,081 ",52,976
24,Nagaland,1978502,0.0016,?0.6%,1407536,0.7114,570966,0.2886,"16,579",119,931
11,Odisha,41974219,0.0347,0.14,34970562,0.8331,7003656,0.1669,"1,55,707",269,979
UT3,Puducherry,1247953,0.001,0.281,395200,0.3167,852753,0.6833,479,2598,1037
16,Punjab,27743338,0.0229,0.1389,17344192,0.6252,10399146,0.3748,"50,362",551,895
7,Rajasthan,68548437,0.0566,0.213,51500352,0.7513,17048085,0.2487,"342,239 ",201,928
28,Sikkim,610577,0.0005,0.129,456999,0.7485,153578,0.2515,"7,096 ",86,890
6,Tamil Nadu,72147030,0.0596,0.156,37229590,0.516,34917440,0.484,"1,30,051",555,996
12,Telangana,35003674,0.0289,0.1358,21395009,0.6112,13608665,0.3888,"1,12,077",312,988
21,Tripura,3673917,0.003,0.148,2712464,0.7383,961453,0.2617,"10,486 ",350,960
1,Uttar Pradesh,199812341,0.1651,0.202,155317278,0.7773,44495063,0.2227,"240,928 ",828,912
19,Uttarakhand,10086292,0.0083,0.188,7036954,0.6977,3049338,0.3023,"53,483 ",189,963
4,West Bengal,91276115,0.0754,0.138,62183113,0.6813,29093002,0.3187,"88,752 ",1029,953
Total,India,1210569573,1,0.177,833463448,0.6884,377106125,0.3116,"3,287,240 ",382,940
